Date,Forecast
2026-05-30,3030.32
2026-05-31,2990.69
2026-06-01,2948.46
2026-06-02,2905.06
2026-06-03,2861.9
2026-06-04,2819.93
2026-06-05,2779.69
2026-06-06,2741.41
2026-06-07,2705.16
2026-06-08,2670.89
2026-06-09,2638.53
2026-06-10,2608.01
2026-06-11,2579.26
2026-06-12,2552.22
2026-06-13,2526.85
2026-06-14,2503.15
2026-06-15,2481.08
2026-06-16,2460.64
2026-06-17,2441.83
2026-06-18,2424.62
2026-06-19,2408.99
2026-06-20,2394.94
2026-06-21,2382.41
2026-06-22,2371.38
2026-06-23,2361.8
2026-06-24,2353.62
2026-06-25,2346.77
2026-06-26,2341.2
2026-06-27,2336.82
2026-06-28,2333.57
